时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8,
1.48829E+12,38.76HZ ,193.82HZ ,0,0,0,0,0,0,0.47,1.55,13.01,0.99,0.01,0.01,0.1,-0.02,-0.02,-0.21,0,0,0,0.07,-0.2,-0.17,,1476,1490,1490,1441,1515,1490,1490,1476,endOfFrame
1.48829E+12,38.78HZ ,193.89HZ ,0,0,0,0,0,0,0.36,3.28,11.87,0.99,0,0.03,0.11,0,-0.05,-0.22,0,0,0,-0.09,-0.02,0.18,,1476,1490,1467,1476,1481,1512,1490,1476,endOfFrame
1.48829E+12,38.89HZ ,194.47HZ ,0,0,0,0,0,0,1.49,2.17,6.01,1,0.01,0.02,0.06,-0.02,-0.04,-0.13,0,0,0,0,0.1,0.39,,1476,1458,1463,1514,1442,1516,1521,1476,endOfFrame
1.48829E+12,38.82HZ ,194.08HZ ,-1,0,0,0,0,0,1.34,1.81,-1.22,1,0.01,0.02,-0.01,0.06,-0.03,0.01,0,0,0,0.05,-0.07,0.34,,1508,1462,1467,1476,1481,1512,1517,1443,endOfFrame
1.48829E+12,38.58HZ ,192.91HZ ,-1,0,0,0,0,0,1.75,0.75,-6.86,1,0.02,0.01,-0.06,-0.05,-0.01,0.12,0,0,0,-0.23,0.06,0.16,,1476,1490,1456,1500,1456,1523,1490,1476,endOfFrame
1.48829E+12,38.62HZ ,193.11HZ ,-1,0,0,0,0,0,3.11,-0.86,-6.88,1,0.03,-0.01,-0.07,-0.07,0.01,0.13,0,0,0,0,-0.06,-0.1,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.23HZ ,191.14HZ ,-1,0,-1,0,0,0,2.49,-0.38,-1.3,1,0.02,0,-0.03,-0.06,0.01,0.05,0,0,0,-0.12,0.02,-0.36,,1444,1527,1490,1454,1502,1490,1452,1507,endOfFrame
1.48829E+12,38.22HZ ,191.09HZ ,-1,0,3,0,0,0,2.56,-0.9,7.62,1,0.02,-0.01,0.05,-0.06,0.02,-0.04,0,0,0,0.05,0,-0.39,,1448,1513,1523,1446,1510,1456,1466,1503,endOfFrame
1.48829E+12,38.36HZ ,191.79HZ ,-1,0,0,0,0,0,2.55,-0.03,13.29,0.99,0.02,0,0.11,-0.06,0,-0.23,0,0,0,-0.01,0.01,-0.11,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.45HZ ,192.27HZ ,-1,0,0,0,0,0,2.24,0.24,9.44,1,0.02,0,0.09,-0.06,0,-0.18,0,0,0,-0.07,-0.05,0.24,,1496,1490,1464,1476,1481,1515,1490,1455,endOfFrame
